SN,Trial,Block,vstmLoad,Targ,Flnk,TargPos,FlnkPos,Congruency,Resp,RT,vstmCond,vstmResp,vstmRT
1,1,1,1,2,1,3,2,0,2,0.6373,1,1,0.6211
1,2,1,1,1,2,6,2,0,1,0.6963,2,2,0.6161
1,3,1,1,1,1,5,1,1,1,0.5516,1,1,0.5994
1,4,1,1,2,1,2,2,0,2,0.6224,2,2,0.7982
1,5,1,1,2,1,1,1,0,2,0.7491,2,2,0.6049
1,6,1,1,2,1,5,2,0,1,0.7324,2,7,7
1,7,1,1,1,1,6,1,1,1,0.9669,2,2,0.7586
1,8,1,1,2,2,6,2,1,2,0.681,2,2,0.6647
1,9,1,1,2,1,5,1,0,2,0.6929,1,1,0.7407
1,10,1,1,1,2,1,1,0,1,1.1985,1,1,1.8863
1,11,1,1,1,1,2,1,1,1,0.6268,2,2,0.4826
1,12,1,1,2,1,2,1,0,2,0.6873,2,2,0.863
1,13,1,1,2,1,6,1,0,2,0.8192,1,1,1.251
1,14,1,1,1,2,6,1,0,1,0.9469,1,1,0.5466
1,15,1,1,2,2,2,1,1,7,7,2,7,7
1,16,1,1,1,2,4,2,0,1,0.9884,1,1,0.9722
1,17,1,1,2,2,1,2,1,2,0.7585,2,2,0.8063
1,18,1,1,2,1,6,2,0,1,0.8853,1,1,0.6553
1,19,1,1,2,2,6,1,1,2,0.7475,1,1,1.0513
1,20,1,1,1,1,4,1,1,2,0.7552,2,2,1.0386
1,21,1,1,1,2,1,2,0,1,0.7425,2,2,1.1743
1,22,1,1,2,1,3,1,0,2,0.8246,2,2,1.9604
1,23,1,1,1,1,3,2,1,1,0.8223,2,2,0.87
1,24,1,1,2,2,2,2,1,2,0.7387,2,2,0.5945
1,25,1,1,1,2,3,1,0,1,1.0942,2,2,0.63
1,26,1,1,1,2,2,1,0,1,1.0657,1,1,1.1774
1,27,1,1,2,2,4,1,1,2,0.9962,2,2,0.788
1,28,1,1,1,2,5,1,0,1,1.3149,2,2,0.5947
1,29,1,1,2,1,1,2,0,2,1.1466,1,7,7
1,30,1,1,2,1,4,1,0,2,0.8255,1,1,1.2572
1,31,1,1,1,2,3,2,0,1,0.9178,1,1,1.2856
1,32,1,1,2,2,5,2,1,2,0.6902,2,2,0.5459
1,33,1,1,2,2,1,1,1,2,0.8198,2,2,1.7636
1,34,1,1,2,2,3,2,1,2,0.9418,1,1,1.1815
1,35,1,1,1,1,6,2,1,1,0.837,1,1,0.9487
1,36,1,1,2,2,4,2,1,2,0.6945,1,1,0.7423
1,37,1,1,2,1,4,2,0,2,0.8162,1,1,0.7359
1,38,1,1,1,2,4,1,0,1,1.0018,1,1,0.8575
1,39,1,1,1,1,3,1,1,1,0.9417,2,2,0.7975
1,40,1,1,1,2,5,2,0,7,7,1,1,1.7165
1,41,1,1,1,1,4,2,1,1,0.7666,1,1,1.5824
1,42,1,1,1,1,5,2,1,1,0.7451,1,1,0.8569
1,43,1,1,1,1,1,1,1,1,0.6968,2,2,0.6166
1,44,1,1,1,2,2,2,0,1,0.6918,2,2,0.6117
1,45,1,1,1,1,1,2,1,1,0.6869,1,1,0.7346
